codigo,descricao
b1,"Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixas Econômicas."
b2,"Banco Múltiplo sem Carteira Comercial ou Banco de Câmbio ou Banco de Investimento."
b3s,"Cooperativa de Crédito Singular."
b3c,"Central e Confederação de Cooperativas de Crédito."
b4,"Banco de Desenvolvimento."
n1,"Instituição não bancária atuante no mercado de crédito."
n2,"Instituição não bancária atuante no mercado de capitais."
n4,"Instituições de pagamento."
