codigo,descricao
s1,"Bancos múltiplos, bancos comerciais, bancos de investimento, bancos de câmbio e caixas econômicas de grande porte."
s2,"Bancos e demais instituições de médio porte."
s3,"Instituições de porte inferior a 1% e igual ou superior a 0.1% do PIB."
s4,"Instituições de porte inferior a 0.1%."
s5,"Instituições de pequeno porte com metodologia simplificada."
